index,t,n,dn,rates
23,330.10000000000656,2,1.0,0.09999999999997726
24,340.10000000000883,3,-1.0,0.0035714285714277603
52,620.1000000000724,2,4.0,0.04999999999998863
54,640.100000000077,6,-1.0,0.09999999999997726
55,650.1000000000793,5,-1.0,0.01999999999999545
60,700.1000000000906,4,-2.0,0.09999999999997726
61,710.1000000000929,2,2.0,0.01999999999999545
66,760.1000000001043,4,-2.0,0.009090909090907023
77,870.1000000001293,2,2.0,0.01666666666666291
83,930.1000000001428,4,-2.0,0.04999999999998806
85,950.1000000001476,2,2.0,0.014285714285711059
92,1020.1000000001634,4,-2.0,0.007692307692314433
105,1150.1000000000495,2,2.0,0.10000000000009096
106,1160.1000000000404,4,-2.0,0.10000000000009096
107,1170.1000000000313,2,-2.0,10.000000000009095
108,1170.2000000000312,0,,
3,130.0999999999969,4,-2.0,0.02500000000000142
7,170.09999999999462,2,2.0,0.05000000000000284
9,190.09999999999349,4,1.0,0.10000000000000624
10,200.09999999999286,5,-3.0,0.025000000000001403
14,240.09999999999062,2,2.0,0.00833333333333176
26,360.10000000001327,4,-2.0,0.0037037037037028608
53,630.1000000000747,2,2.0,0.012499999999997156
61,710.1000000000929,4,-2.0,0.01999999999999545
66,760.1000000001043,2,1.0,0.09999999999997726
67,770.1000000001065,3,-1.0,0.016666666666662878
73,830.1000000001202,2,2.0,0.024999999999994315
77,870.1000000001293,4,2.0,0.008333333333331439
89,990.1000000001566,6,-2.0,0.0999999999999784
90,1000.1000000001587,4,2.0,0.003846153846156942
116,1260.0999999999494,6,2.0,0.033333333333363906
119,1290.099999999922,8,-2.0,0.016666666666681762
125,1350.0999999998676,6,-2.0,0.02000000000001819
130,1400.099999999822,4,2.0,0.033333333333363906
133,1430.0999999997946,6,-2.0,0.10000000000009096
134,1440.0999999997855,4,2.0,0.10000000000008867
135,1450.0999999997766,6,-4.0,0.05000000000004489
137,1470.0999999997587,2,2.0,0.1000000000000955
138,1480.0999999997491,4,-2.0,0.10000000000008867
139,1490.0999999997402,2,2.0,0.0333333333333634
142,1520.0999999997132,4,2.0,0.050000000000046035
144,1540.0999999996948,6,-2.0,0.008333333333340912
156,1660.0999999995856,4,-2.0,0.10000000000009322
157,1670.0999999995763,2,-2.0,10.000000000009095
158,1670.1999999995762,0,,
11,210.0999999999924,6,-2.0,0.02500000000000145
15,250.09999999999008,4,2.0,0.014285714285711385
22,320.1000000000043,6,-2.0,0.011111111111108577
31,410.1000000000248,4,2.0,0.09999999999997784
32,420.100000000027,6,2.0,0.049999999999988345
34,440.1000000000317,8,2.0,0.04999999999998906
36,460.10000000003606,10,2.0,0.03333333333332576
39,490.1000000000429,12,2.0,0.01999999999999541
44,540.1000000000544,14,-2.0,0.0999999999999784
45,550.1000000000565,12,-3.0,0.09999999999997726
46,560.1000000000588,9,-1.0,0.09999999999997726
47,570.1000000000611,8,-2.0,0.03333333333332576
50,600.1000000000679,6,-2.0,0.008333333333331439
62,720.1000000000952,4,2.0,0.01999999999999545
67,770.1000000001065,6,2.0,0.09999999999997726
68,780.1000000001088,8,-2.0,0.04999999999998863
70,800.1000000001134,6,-2.0,0.09999999999997726
71,810.1000000001156,4,-2.0,0.0333333333333255
74,840.1000000001227,2,-2.0,9.999999999997726
75,840.2000000001227,0,,
4,140.09999999999633,2,-2.0,10.000000000000568
5,140.19999999999632,0,,
20,300.09999999999974,4,2.0,0.04999999999998863
22,320.1000000000043,6,2.0,0.04999999999998863
24,340.10000000000883,8,-2.0,0.09999999999997612
25,350.1000000000112,6,2.0,0.03333333333332607
28,380.10000000001776,8,-2.0,0.0333333333333255
31,410.1000000000248,6,-2.0,0.033333333333325686
34,440.1000000000317,4,2.0,0.09999999999997954
35,450.10000000003373,6,-2.0,0.014285714285711026
42,520.1000000000497,4,-2.0,0.01999999999999545
47,570.1000000000611,2,2.0,0.03333333333332576
50,600.1000000000679,4,-4.0,9.999999999997726
51,600.2000000000679,0,,
14,240.09999999999062,2,-2.0,10.000000000000568
15,240.19999999999058,0,,
1,110.09999999999802,6,-2.0,0.050000000000002806
3,130.0999999999969,4,-2.0,0.012500000000000702
11,210.0999999999924,2,2.0,0.00769230769230672
24,340.10000000000883,4,-2.0,0.09999999999997612
25,350.1000000000112,2,-2.0,9.999999999997726
26,350.20000000001124,0,,
11,210.0999999999924,4,-2.0,0.014285714285713718
18,280.0999999999952,2,2.0,0.09999999999997726
19,290.09999999999746,4,2.0,0.03333333333332576
22,320.1000000000043,6,-2.0,0.00833333333333143
34,440.1000000000317,4,2.0,0.016666666666662926
40,500.10000000004516,6,2.0,0.04999999999998863
42,520.1000000000497,8,2.0,0.024999999999994315
46,560.1000000000588,10,-2.0,0.049999999999988914
48,580.1000000000632,8,-4.0,0.09999999999997612
49,590.1000000000656,4,2.0,0.09999999999997726
50,600.1000000000679,6,-4.0,0.04999999999998863
52,620.1000000000724,2,-2.0,9.999999999997726
53,620.2000000000725,0,,
68,780.1000000001088,2,-2.0,9.999999999997726
69,780.2000000001088,0,,
1,110.09999999999802,6,-2.0,0.02000000000000113
6,160.0999999999952,4,-2.0,0.016666666666667638
12,220.0999999999917,2,-2.0,10.000000000000568
13,220.1999999999917,0,,
1,110.09999999999802,10,-4.0,0.025000000000001413
5,150.09999999999576,6,1.0,0.10000000000000568
6,160.0999999999952,7,-1.0,0.10000000000000568
7,170.09999999999462,6,-2.0,0.02000000000000117
12,220.0999999999917,4,2.0,0.0500000000000027
14,240.09999999999062,6,2.0,0.016666666666664134
20,300.09999999999974,8,-2.0,0.03333333333332576
23,330.10000000000656,6,-2.0,0.049999999999988345
25,350.1000000000112,4,2.0,0.011111111111108584
34,440.1000000000317,6,2.0,0.03333333333332588
37,470.1000000000384,8,-2.0,0.09999999999997668
38,480.10000000004067,6,-2.0,0.012499999999997177
46,560.1000000000588,4,2.0,0.03333333333332576
49,590.1000000000656,6,1.0,0.09999999999997726
50,600.1000000000679,7,1.0,0.04999999999998863
52,620.1000000000724,8,-2.0,0.024999999999994315
56,660.1000000000815,6,-2.0,0.04999999999998863
58,680.1000000000861,4,2.0,0.09999999999997726
59,690.1000000000884,6,1.0,0.09999999999997726
60,700.1000000000906,7,-1.0,0.024999999999994246
64,740.1000000000998,6,-2.0,0.009090909090907023
75,850.1000000001249,4,2.0,0.008333333333331446
87,970.100000000152,6,-2.0,0.03333333333332588
90,1000.1000000001587,4,2.0,0.033333333333333465
93,1030.1000000001586,6,2.0,0.03333333333336365
96,1060.1000000001313,8,-2.0,0.025000000000022737
100,1100.100000000095,6,-2.0,0.004347826086960476
123,1330.0999999998858,4,2.0,0.011111111111121187
132,1420.0999999998041,6,-2.0,0.033333333333363906
135,1450.0999999997766,4,-2.0,0.001250000000001137
215,2250.099999999049,2,2.0,0.03333333333336365
218,2280.0999999990217,4,-2.0,0.1000000000000864
219,2290.099999999013,2,2.0,0.10000000000009096
220,2300.099999999004,4,2.0,0.1000000000000955
221,2310.0999999989945,6,2.0,0.03333333333336365
224,2340.099999998967,8,-2.0,0.050000000000045466
226,2360.099999998949,6,-2.0,0.10000000000009096
227,2370.09999999894,4,-2.0,0.003125000000002842
259,2690.099999998649,2,2.0,0.025000000000022737
263,2730.0999999986125,4,-2.0,0.03333333333336365
266,2760.099999998585,2,2.0,0.025000000000022445
270,2800.0999999985493,4,2.0,0.03333333333336466
273,2830.099999998521,6,2.0,0.033333333333363135
276,2860.0999999984942,8,-2.0,0.0166666666666817
282,2920.09999999844,6,2.0,0.025000000000023018
286,2960.0999999984033,8,2.0,0.050000000000045466
288,2980.099999998385,10,2.0,0.10000000000009096
289,2990.099999998376,12,-2.0,0.10000000000009096
290,3000.099999998367,10,-2.0,0.03333333333336365
293,3030.0999999983396,8,-2.0,0.012500000000011295
301,3110.0999999982673,6,-2.0,0.012500000000011441
309,3190.099999998194,4,2.0,0.050000000000044335
311,3210.0999999981764,6,-2.0,0.05000000000004889
313,3230.099999998157,4,-2.0,0.033333333333362636
316,3260.0999999981304,2,-2.0,10.000000000009095
317,3260.1999999981304,0,,
4,140.09999999999633,8,-2.0,0.033333333333335234
7,170.09999999999462,6,-2.0,0.03333333333333529
10,200.09999999999286,4,-2.0,0.004999999999999258
30,400.10000000002253,2,-2.0,9.999999999997726
31,400.20000000002256,0,,
1,110.09999999999802,2,2.0,0.014285714285715097
8,180.09999999999405,4,-2.0,0.014285714285715097
15,250.09999999999008,2,1.0,0.09999999999999433
16,260.09999999999064,3,-1.0,0.01999999999999548
21,310.10000000000196,2,2.0,0.01111111111110857
30,400.10000000002253,4,-2.0,0.03333333333332582
33,430.1000000000293,2,2.0,0.004999999999998865
53,630.1000000000747,4,4.0,0.01999999999999545
58,680.1000000000861,8,1.0,0.09999999999997726
59,690.1000000000884,9,-1.0,0.09999999999997726
60,700.1000000000906,8,-2.0,0.024999999999994246
64,740.1000000000998,6,-2.0,0.09999999999997954
65,750.1000000001019,4,2.0,0.016666666666662847
71,810.1000000001156,6,-2.0,0.04999999999998863
73,830.1000000001202,4,-2.0,0.00833333333333143
85,950.1000000001476,2,1.0,0.09999999999997954
86,960.1000000001496,3,-1.0,0.03333333333332563
89,990.1000000001566,2,2.0,0.00833333333333823
101,1110.100000000086,4,-2.0,0.012500000000011441
109,1190.1000000000129,2,2.0,0.025000000000022598
113,1230.0999999999767,4,-1.0,0.10000000000009322
114,1240.0999999999674,3,-1.0,0.005000000000004548
134,1440.0999999997855,2,2.0,0.0200000000000181
139,1490.0999999997402,4,4.0,0.025000000000022737
143,1530.0999999997039,8,-6.0,0.012500000000011368
151,1610.099999999631,2,2.0,0.011111111111121216
160,1700.0999999995493,4,-2.0,0.009090909090917395
171,1810.0999999994488,2,-2.0,10.000000000009095
172,1810.199999999449,0,,
3,130.0999999999969,8,-2.0,0.10000000000000568
4,140.09999999999633,6,2.0,0.05000000000000284
6,160.0999999999952,8,-2.0,0.012500000000000715
14,240.09999999999062,6,-2.0,0.049999999999999926
16,260.09999999999064,4,-2.0,0.0071428571428555155
30,400.10000000002253,2,2.0,0.01666666666666291
36,460.10000000003606,4,-2.0,0.09999999999997668
37,470.1000000000384,2,2.0,0.02499999999999428
41,510.10000000004754,4,2.0,0.024999999999994388
45,550.1000000000565,6,2.0,0.024999999999994315
49,590.1000000000656,8,-2.0,0.09999999999997726
50,600.1000000000679,6,2.0,0.024999999999994315
54,640.100000000077,8,2.0,0.04999999999998863
56,660.1000000000815,10,-2.0,0.09999999999997726
57,670.1000000000838,8,-2.0,0.09999999999997726
58,680.1000000000861,6,-6.0,9.999999999997726
59,680.2000000000861,0,,
9,190.09999999999349,2,1.0,0.10000000000000624
10,200.09999999999286,3,-1.0,0.014285714285714275
17,270.0999999999929,2,2.0,0.01999999999999545
22,320.1000000000043,4,-2.0,0.04999999999998863
24,340.10000000000883,2,2.0,0.01666666666666286
30,400.10000000002253,4,-2.0,0.03333333333332582
33,430.1000000000293,2,2.0,0.01666666666666289
39,490.1000000000429,4,2.0,0.011111111111108598
48,580.1000000000632,6,2.0,0.016666666666662847
54,640.100000000077,8,-2.0,0.011111111111108584
63,730.1000000000975,6,-2.0,0.024999999999994315
67,770.1000000001065,4,2.0,0.04999999999998863
69,790.1000000001111,6,-2.0,0.012499999999997156
77,870.1000000001293,4,1.0,0.09999999999997612
78,880.1000000001317,5,-1.0,0.0999999999999784
79,890.1000000001338,4,-2.0,0.009090909090907031
90,1000.1000000001587,2,2.0,0.049999999999988345
92,1020.1000000001634,4,2.0,0.03333333333335885
95,1050.1000000001404,6,-2.0,0.10000000000009096
96,1060.1000000001313,4,-2.0,0.003703703703707072
123,1330.0999999998858,2,2.0,0.03333333333336365
126,1360.0999999998585,4,2.0,0.02000000000001819
131,1410.099999999813,6,-2.0,0.050000000000046035
133,1430.0999999997946,4,2.0,0.008333333333340912
145,1550.0999999996855,6,-2.0,0.025000000000022598
149,1590.0999999996493,4,2.0,0.10000000000009096
150,1600.0999999996402,6,-2.0,0.011111111111121216
159,1690.0999999995583,4,-2.0,0.007142857142863628
173,1830.0999999994312,2,-2.0,10.000000000009095
174,1830.1999999994312,0,,
3,130.0999999999969,6,-2.0,0.033333333333335234
6,160.0999999999952,4,1.0,0.10000000000000568
7,170.09999999999462,5,-1.0,0.03333333333333529
10,200.09999999999286,4,2.0,0.025000000000001403
14,240.09999999999062,6,1.0,0.1000000000000054
15,250.09999999999008,7,-1.0,0.03333333333332765
18,280.0999999999952,6,-2.0,0.04999999999998863
20,300.09999999999974,4,2.0,0.04999999999998863
22,320.1000000000043,6,-2.0,0.01999999999999543
27,370.1000000000157,4,2.0,0.049999999999988776
29,390.1000000000202,6,-2.0,0.012499999999997156
37,470.1000000000384,4,2.0,0.009090909090907038
48,580.1000000000632,6,4.0,0.0333333333333255
51,610.1000000000703,10,2.0,0.0999999999999784
52,620.1000000000724,12,2.0,0.024999999999994315
56,660.1000000000815,14,-2.0,0.024999999999994315
60,700.1000000000906,12,-4.0,0.03333333333332576
63,730.1000000000975,8,2.0,0.03333333333332576
66,760.1000000001043,10,-2.0,0.09999999999997726
67,770.1000000001065,8,-2.0,0.009090909090907014
78,880.1000000001317,6,2.0,0.024999999999994388
82,920.1000000001407,8,-2.0,0.0999999999999784
83,930.1000000001428,6,2.0,0.024999999999994246
87,970.100000000152,8,-2.0,0.03333333333332588
90,1000.1000000001587,6,-2.0,0.010000000000006377
100,1100.100000000095,4,2.0,0.011111111111121244
109,1190.1000000000129,6,-2.0,0.10000000000008867
110,1200.100000000004,4,1.0,0.10000000000009096
111,1210.099999999995,5,-1.0,0.025000000000022737
115,1250.0999999999585,4,2.0,0.025000000000022882
119,1290.099999999922,6,-2.0,0.008333333333340897
131,1410.099999999813,4,2.0,0.033333333333363906
134,1440.0999999997855,6,-2.0,0.014285714285727232
141,1510.099999999722,4,2.0,0.014285714285727232
148,1580.0999999996586,6,2.0,0.02000000000001801
153,1630.0999999996136,8,-2.0,0.10000000000009776
154,1640.0999999996038,6,-2.0,0.004545454545458675
176,1860.099999999404,4,2.0,0.05000000000004661
178,1880.0999999993853,6,-2.0,0.025000000000022882
182,1920.0999999993487,4,2.0,0.02000000000001792
187,1970.099999999304,6,-2.0,0.007142857142863628
