s,t,x,y
"[(0, 5), (1, 5), (1, 6)]",18.9,"[[120.2547928518162, 120.46584009456782], [138.4994467884309, 138.49952100634795], [145.36271019335396, 145.36151459470364]]","[[201.9073522365302, 310.11595460586676], [225.875032250098, 286.10415833911986], [218.26065463392962, 293.73759877156084]]"
"[(0, 5), (1, 5), (1, 6)]",19.0,"[[120.24607974879316, 120.29349962535947], [138.49943531156225, 138.49950922125433], [145.6470761617929, 145.64635920610286]]","[[201.91351910026225, 310.2358763675439], [225.8718143361034, 286.10746267402834], [218.28574002299985, 293.7126199215082]]"
"[(0, 5), (1, 5), (1, 6)]",19.1,"[[120.24618761963069, 120.27996931377547], [138.49942202100047, 138.49949558564342], [145.64750107259854, 145.64677910286412]]","[[201.91304861215738, 310.23429320536405], [225.86808789414738, 286.11128586174414], [218.28476802806344, 293.7135804466828]]"
"[(0, 5), (1, 5), (1, 6)]",19.2,"[[119.91249322813664, 120.28031491653306], [138.4994069957141, 138.49948018395372], [145.64788420095724, 145.6471572228461]]","[[201.6882375006045, 310.23580058205823], [225.8638750656495, 286.11560422718253], [218.28389161160214, 293.7144454063472]]"
"[(0, 5), (1, 5), (1, 6)]",19.3,"[[119.90705357328922, 119.95531607269442], [138.4993903191934, 138.49946310305012], [145.73918647530195, 145.73874918413713]]","[[201.70015310799795, 310.40556628245406], [225.85919925981122, 286.1203934149304], [218.29041777534363, 293.7079376847776]]"
"[(0, 5), (1, 5), (1, 6)]",19.4,"[[119.90447831459127, 119.95107996280814], [138.49937207752632, 138.49944443122496], [145.73944068939824, 145.73900062286077]]","[[201.70573477182302, 310.39628704991173], [225.8540846141995, 286.1256286693733], [218.28946174134902, 293.7088832813077]]"
"[(0, 5), (1, 5), (1, 6)]",19.5,"[[119.67294767771581, 119.94972623951912], [138.49998344988109, 138.4999856472574], [145.73966962332565, 145.7392267888855]]","[[201.4394643527283, 310.39340120114144], [225.84605566183652, 286.1335049900658], [218.2886007795836, 293.70973383370125]]"
"[(0, 5), (1, 5), (1, 6)]",19.6,"[[119.65140669471164, 119.7009532011416], [138.49998280675402, 138.4999849893656], [145.73987362983954, 145.73942803545296]]","[[201.43958510880412, 310.682724630611], [225.84007348284425, 286.13962450619306], [218.2878335634251, 293.71049067040934]]"
"[(0, 5), (1, 5), (1, 6)]",19.7,"[[119.6484452971226, 119.68352738780068], [138.49998212380234, 138.49998429100194], [145.740053056166, 145.73960471026984]]","[[201.45054638968273, 310.67930603241604], [225.83372086727374, 286.1461204794876], [218.28715878704503, 293.7111550990677]]"
"[(0, 5), (1, 5), (1, 6)]",19.8,"[[119.51312408038736, 119.68086305896658], [138.49998140356377, 138.49998355474594], [145.74020824413577, 145.73975715564086]]","[[201.35245150531807, 310.6694443181998], [225.8270214197916, 286.15296891614], [218.286575164906, 293.71172840699654]]"
"[(0, 5), (1, 5), (1, 6)]",19.9,"[[119.41816731774205, 119.5251802309029], [138.49998064848668, 138.49998278309062], [145.7403395303122, 145.7398857085962]]","[[201.30289449096827, 310.7830907047054], [225.8199979149933, 286.1601466272987], [218.28608143127937, 293.71221186167975]]"
"[(0, 5), (1, 5), (1, 6)]",20.0,"[[119.3869534800283, 119.45111317688155], [138.49997986091768, 138.4999819784298], [145.740447246115, 145.73999070101365]]","[[201.29908598414156, 310.81905090979615], [225.81267217980624, 286.167631345622], [218.28567633978088, 293.71260671122485]]"
"[(0, 5), (1, 5), (1, 6)]",20.1,"[[119.38567472987238, 119.41614454604445], [138.4999790430933, 138.49998114304972], [145.74053171793884, 145.74007245973627]]","[[201.30466336493606, 310.82823340676214], [225.8050650179356, 286.1754018051651], [218.2853586629236, 293.7129141848045]]"
