s,t,x,y
"[(3, 2)]",2727.1,"[[203.05611283009165, 205.35409876905442]]","[[339.8623520226622, 174.10828976867575]]"
"[(3, 2)]",2727.2,"[[203.0831989365369, 205.16824635657946]]","[[339.8831277046996, 174.0118151475563]]"
"[(3, 2)]",2727.3,"[[203.09081439554203, 205.2082080337816]]","[[339.9114972637974, 173.99263717474645]]"
"[(3, 2)]",2727.4,"[[202.84330231892486, 204.9911209511995]]","[[340.0357308333822, 173.8838299721207]]"
"[(3, 2)]",2727.5,"[[202.87745040571863, 205.02204716906672]]","[[340.054400057043, 173.86167942197213]]"
"[(3, 2)]",2727.6,"[[202.9128874179537, 205.05765619965712]]","[[340.0738859815582, 173.8407392650984]]"
"[(3, 2)]",2727.7,"[[202.94877459674558, 205.09352679610106]]","[[340.0936975508199, 173.81960371760707]]"
"[(3, 2)]",2727.8,"[[202.98510828873012, 205.044797302171]]","[[340.11383401102194, 173.77023150238054]]"
"[(3, 2)]",2727.9,"[[202.96432738654553, 205.07070548203018]]","[[340.15479449366336, 173.74558204334667]]"
"[(3, 2)]",2728.0,"[[202.99362996319311, 205.0967109817434]]","[[340.17799192526803, 173.72076037071267]]"
"[(3, 2)]",2728.1,"[[203.02031911331204, 205.122922521635]]","[[340.20243389505316, 173.69566425738873]]"
"[(3, 2)]",2728.2,"[[202.98730412127236, 205.09738125357535]]","[[340.24748474371427, 173.65392024130412]]"
"[(3, 2)]",2728.3,"[[202.55065163730967, 204.65287529650746]]","[[340.4262586003288, 173.4856062171175]]"
"[(3, 2)]",2728.4,"[[202.5286199152168, 204.6841400255954]]","[[340.4647289945623, 173.46358238096215]]"
"[(3, 2)]",2728.5,"[[202.55194253863047, 204.44472568395253]]","[[340.4884958514067, 173.3626424384371]]"
"[(3, 2)]",2728.6,"[[202.38192978703785, 204.46955875926818]]","[[340.573653485663, 173.33936031109016]]"
"[(3, 2)]",2728.7,"[[202.40645468278854, 204.4946280868329]]","[[340.59673594077776, 173.3157489014063]]"
"[(3, 2)]",2728.8,"[[202.43120423863755, 204.51993392849744]]","[[340.62013025499056, 173.29181212058586]]"
"[(3, 2)]",2728.9,"[[202.45617862089222, 204.54547640511856]]","[[340.64383291325146, 173.26755368818726]]"
"[(3, 2)]",2729.0,"[[202.48137792227996, 204.56345835310702]]","[[340.6678406037754, 173.24091896560637]]"
"[(3, 2)]",2729.1,"[[202.4984141769447, 204.5891639400467]]","[[340.694584604511, 173.21598528991393]]"
"[(3, 2)]",2729.2,"[[202.5238468110633, 204.61399993464806]]","[[340.71921477077336, 173.19046090540502]]"
"[(3, 2)]",2729.3,"[[202.30498599145494, 204.38942601205693]]","[[340.8127734600363, 173.10232912039947]]"
